"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","key_press","tap_times"
"","silence.wav","","audio-keyboard-taps","51","344676","0.0-1.0-2.12","null","1053,1565,2133,2709,3293,3893,4461,5077,5621,6245,6845,7405,7989,8589,9205,9789,10389,11005,11597,12221,12797"
"null","<p> you can stop tapping </p>","","html-keyboard-response-ITI","52","345978","0.0-1.0-3.12","null",""
"null","800_ms.wav","","audio-keyboard-response","53","352090","0.0-1.0-0.13","null",""
"null","700_ms.wav","","audio-keyboard-response","54","358504","0.0-1.0-1.13","null",""
"","silence.wav","","audio-keyboard-taps","55","376876","0.0-1.0-2.13","null","829,1541,2341,3133,3973,4821,5541,6357,7197,8069,8877,9669,10477,11269,12093,12909,13685,14493,15269,16077,16869"
"null","<p> you can stop tapping </p>","","html-keyboard-response-ITI","56","378180","0.0-1.0-3.13","null",""
"null","700_ms.wav","","audio-keyboard-response","57","383591","0.0-1.0-0.14","null",""
"null","500_ms.wav","","audio-keyboard-response","58","388605","0.0-1.0-1.14","null",""
"","silence.wav","","audio-keyboard-taps","59","403141","0.0-1.0-2.14","null","939,1627,2235,2819,3459,4040,4651,5275,5899,6491,7083,7691,8291,8891,9499,10091,10683,11275,11867,12459,13035"
"null","<p> you can stop tapping </p>","","html-keyboard-response-ITI","60","404443","0.0-1.0-3.14","null",""
"null","800_ms.wav","","audio-keyboard-response","61","410554","0.0-1.0-0.15","null",""
"null","600_ms.wav","","audio-keyboard-response","62","416263","0.0-1.0-1.15","null",""
"","silence.wav","","audio-keyboard-taps","63","429342","0.0-1.0-2.15","null","1520,2016,2592,3080,3608,4128,4600,5096,5600,6096,6576,7096,7608,8088,8592,9096,9592,10104,10640,11104,11576"
"null","<p> you can stop tapping </p>","","html-keyboard-response-ITI","64","430644","0.0-1.0-3.15","null",""
"null","700_ms.wav","","audio-keyboard-response","65","436057","0.0-1.0-0.16","null",""
"null","400_ms.wav","","audio-keyboard-response","66","440369","0.0-1.0-1.16","null",""
"","silence.wav","","audio-keyboard-taps","67","455526","0.0-1.0-2.16","null","1325,1877,2541,3101,3733,4365,4989,5637,6253,6877,7509,8133,8757,9373,10005,10613,11269,11861,12469,13061,13653"
"null","<p> you can stop tapping </p>","","html-keyboard-response-ITI","68","456829","0.0-1.0-3.16","null",""
"null","700_ms.wav","","audio-keyboard-response","69","462241","0.0-1.0-0.17","null",""
"null","800_ms.wav","","audio-keyboard-response","70","469350","0.0-1.0-1.17","null",""
"","silence.wav","","audio-keyboard-taps","71","484255","0.0-1.0-2.17","null","1011,1691,2323,2907,3507,4107,4707,5315,5963,6563,7187,7819,8451,9067,9683,10275,10875,11531,12187,12763,13403"
"null","<p> you can stop tapping </p>","","html-keyboard-response-ITI","72","485557","0.0-1.0-3.17","null",""
"null","500_ms.wav","","audio-keyboard-response","73","489569","0.0-1.0-0.18","null",""
"null","400_ms.wav","","audio-keyboard-response","74","493881","0.0-1.0-1.18","null",""
"","silence.wav","","audio-keyboard-taps","75","507223","0.0-1.0-2.18","null","1320,1944,2520,3040,3536,4056,4560,5072,5608,6112,6632,7128,7656,8160,8672,9184,9696,10224,10784,11304,11840"
"null","<p> you can stop tapping </p>","","html-keyboard-response-ITI","76","508526","0.0-1.0-3.18","null",""
"null","800_ms.wav","","audio-keyboard-response","77","514638","0.0-1.0-0.19","null",""
"null","400_ms.wav","","audio-keyboard-response","78","518950","0.0-1.0-1.19","null",""
"","silence.wav","","audio-keyboard-taps","79","534152","0.0-1.0-2.19","null","3179,3763,4355,4907,5419,5931,6411,6923,7419,7931,8427,8947,9499,9995,10531,11083,11611,12131,12707,13211,13699"
"null","<p> you can stop tapping </p>","","html-keyboard-response-ITI","80","535454","0.0-1.0-3.19","null",""
"4035.0000000001164","<p style=""font-size:30px;"">Thank you!</p><p>You have completed the experiment.</p><p>Click &#39continue&#39 to close the experiment and proceed to Prolific.</p>","0","html-button-response","81","539991","0.0-2.0","",""
