"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","key_press","tap_times"
"11504.569999990053","<p style=""font-size:30px;"">Hi!</p><br><p>In this experiment, you will hear sounds with different speeds. </p><p>Your task is to listen to the pair of sounds, and then tap on the T key</p><p>with a speed that you think is the midway between these two speeds.<br><br><br></p>","0","html-button-response","0","11507","0.0-0.0","",""
"null","400_ms.wav","","audio-keyboard-response","1","14978","0.0-1.0-0.0","null",""
"null","600_ms.wav","","audio-keyboard-response","2","20690","0.0-1.0-1.0","null",""
"","silence.wav","","audio-keyboard-taps","3","32975","0.0-1.0-2.0","null","3001,3454,3808,4209,4592,4957,5317,5700,6089,6484,6861,7233,7622,8017,8423,8806,9195,9613,10008,10397,10780"
"null","<p> you can stop tapping </p>","","html-keyboard-response-ITI","4","34285","0.0-1.0-3.0","null",""
"null","500_ms.wav","","audio-keyboard-response","5","38302","0.0-1.0-0.1","null",""
"null","700_ms.wav","","audio-keyboard-response","6","44717","0.0-1.0-1.1","null",""
"","silence.wav","","audio-keyboard-taps","7","61436","0.0-1.0-2.1","null","3483,4156,4603,5161,5869,6519,7158,7744,8324,8864,9404,10066,10629,11215,11796,12550,13119,13595,14106,14692,15215"
"null","<p> you can stop tapping </p>","","html-keyboard-response-ITI","8","62740","0.0-1.0-3.1","null",""
"null","800_ms.wav","","audio-keyboard-response","9","68855","0.0-1.0-0.2","null",""
"null","500_ms.wav","","audio-keyboard-response","10","73870","0.0-1.0-1.2","null",""
"","silence.wav","","audio-keyboard-taps","11","89795","0.0-1.0-2.2","null","3030,3651,4174,4783,5428,6026,6560,7163,7703,8226,8806,9416,9967,10507,11082,11668,12150,12736,13317,13886,14420"
"null","<p> you can stop tapping </p>","","html-keyboard-response-ITI","12","91099","0.0-1.0-3.2","null",""
"null","700_ms.wav","","audio-keyboard-response","13","96515","0.0-1.0-0.3","null",""
"null","400_ms.wav","","audio-keyboard-response","14","100834","0.0-1.0-1.3","null",""
"","silence.wav","","audio-keyboard-taps","15","116085","0.0-1.0-2.3","null","1213,1707,2368,3036,3698,4371,4963,5689,6281,6972,7663,8330,8916,9601,10147,10722,11267,11889,12481,13102,13746"
"null","<p> you can stop tapping </p>","","html-keyboard-response-ITI","16","117389","0.0-1.0-3.3","null",""
"null","700_ms.wav","","audio-keyboard-response","17","122801","0.0-1.0-0.4","null",""
"null","800_ms.wav","","audio-keyboard-response","18","129918","0.0-1.0-1.4","null",""
"","silence.wav","","audio-keyboard-taps","19","150086","0.0-1.0-2.4","null","1620,2426,3042,3617,4069,4609,5224,5834,6327,7024,7442,8011,8609,10118,11122,12637,13421,15430,16080,18042,18663"
"null","<p> you can stop tapping </p>","","html-keyboard-response-ITI","20","151390","0.0-1.0-3.4","null",""
"null","500_ms.wav","","audio-keyboard-response","21","155402","0.0-1.0-0.5","null",""
"null","400_ms.wav","","audio-keyboard-response","22","159721","0.0-1.0-1.5","null",""
"","silence.wav","","audio-keyboard-taps","23","171196","0.0-1.0-2.5","null","592,1057,1556,2003,2508,2984,3448,3976,4435,4894,5346,5857,6327,6740,7158,7639,8098,8557,8998,9462,9967"
"null","<p> you can stop tapping </p>","","html-keyboard-response-ITI","24","172500","0.0-1.0-3.5","null",""
"null","400_ms.wav","","audio-keyboard-response","25","175818","0.0-1.0-0.6","null",""
"null","800_ms.wav","","audio-keyboard-response","26","182935","0.0-1.0-1.6","null",""
"","silence.wav","","audio-keyboard-taps","27","199721","0.0-1.0-2.6","null","3524,4116,4731,5422,6078,6815,7378,7982,8510,9079,9625,10182,10739,11244,11784,12434,13038,13642,14187,14785,15279"
"null","<p> you can stop tapping </p>","","html-keyboard-response-ITI","28","201029","0.0-1.0-3.6","null",""
"null","600_ms.wav","","audio-keyboard-response","29","205749","0.0-1.0-0.7","null",""
"null","800_ms.wav","","audio-keyboard-response","30","212866","0.0-1.0-1.7","null",""
"","silence.wav","","audio-keyboard-taps","31","228955","0.0-1.0-2.7","null","1027,1660,2479,3216,3918,4638,5254,5886,6513,7187,7848,8539,9247,9903,10577,11209,11860,12568,13241,13909,14582"
"null","<p> you can stop tapping </p>","","html-keyboard-response-ITI","32","230264","0.0-1.0-3.7","null",""
"null","800_ms.wav","","audio-keyboard-response","33","236382","0.0-1.0-0.8","null",""
"null","700_ms.wav","","audio-keyboard-response","34","242797","0.0-1.0-1.8","null",""
"","silence.wav","","audio-keyboard-taps","35","259245","0.0-1.0-2.8","null","830,1515,2287,3053,3767,4534,5201,5834,6461,7163,7802,8557,9288,9979,10664,11337,12103,12846,13531,14199,14948"
"null","<p> you can stop tapping </p>","","html-keyboard-response-ITI","36","260554","0.0-1.0-3.8","null",""
"null","400_ms.wav","","audio-keyboard-response","37","263875","0.0-1.0-0.9","null",""
"null","500_ms.wav","","audio-keyboard-response","38","268890","0.0-1.0-1.9","null",""
"","silence.wav","","audio-keyboard-taps","39","281663","0.0-1.0-2.9","null","691,1173,1678,2200,2728,3251,3796,4307,4859,5381,5915,6374,6891,7465,8017,8545,9079,9642,10240,10757,11267"
"null","<p> you can stop tapping </p>","","html-keyboard-response-ITI","40","282967","0.0-1.0-3.9","null",""
"null","500_ms.wav","","audio-keyboard-response","41","286985","0.0-1.0-0.10","null",""
"null","800_ms.wav","","audio-keyboard-response","42","294101","0.0-1.0-1.10","null",""
"","silence.wav","","audio-keyboard-taps","43","309250","0.0-1.0-2.10","null","952,1579,2281,2937,3628,4284,4957,5613,6304,6931,7512,8098,8748,9311,9851,10513,11128,11755,12388,13009,13642"
"null","<p> you can stop tapping </p>","","html-keyboard-response-ITI","44","310559","0.0-1.0-3.10","null",""
"null","500_ms.wav","","audio-keyboard-response","45","314576","0.0-1.0-0.11","null",""
"null","600_ms.wav","","audio-keyboard-response","46","320294","0.0-1.0-1.11","null",""
"","silence.wav","","audio-keyboard-taps","47","336775","0.0-1.0-2.11","null","3286,3756,4406,4992,5590,6200,6757,7349,7947,8568,9218,9828,10408,11018,11540,12132,12696,13317,13886,14414,14977"
"null","<p> you can stop tapping </p>","","html-keyboard-response-ITI","48","338081","0.0-1.0-3.11","null",""
"null","600_ms.wav","","audio-keyboard-response","49","342800","0.0-1.0-0.12","null",""
"null","700_ms.wav","","audio-keyboard-response","50","349215","0.0-1.0-1.12","null",""
"","silence.wav","","audio-keyboard-taps","51","365336","0.0-1.0-2.12","null","1602,2293,2920,3529,4243,4905,5480,6084,6740,7430,8121,8835,9509,10188,10797,11430,12138,12800,13433,14036,14617"
"null","<p> you can stop tapping </p>","","html-keyboard-response-ITI","52","366641","0.0-1.0-3.12","null",""
"null","600_ms.wav","","audio-keyboard-response","53","371361","0.0-1.0-0.13","null",""
"null","500_ms.wav","","audio-keyboard-response","54","376376","0.0-1.0-1.13","null",""
"","silence.wav","","audio-keyboard-taps","55","392206","0.0-1.0-2.13","null","1138,1840,2450,3088,3762,4458,5091,5747,6449,7204,7767,8394,9038,9630,10252,10942,11714,12341,12992,13706,14321"
"null","<p> you can stop tapping </p>","","html-keyboard-response-ITI","56","393513","0.0-1.0-3.13","null",""
"null","700_ms.wav","","audio-keyboard-response","57","398929","0.0-1.0-0.14","null",""
"null","600_ms.wav","","audio-keyboard-response","58","404647","0.0-1.0-1.14","null",""
"","silence.wav","","audio-keyboard-taps","59","419733","0.0-1.0-2.14","null","1364,1939,2612,3251,3855,4493,5143,5828,6415,7030,7663,8278,8870,9503,10066,10658,11227,11836,12440,13026,13578"
"null","<p> you can stop tapping </p>","","html-keyboard-response-ITI","60","421040","0.0-1.0-3.14","null",""
"null","800_ms.wav","","audio-keyboard-response","61","427159","0.0-1.0-0.15","null",""
"null","400_ms.wav","","audio-keyboard-response","62","431478","0.0-1.0-1.15","null",""
"","silence.wav","","audio-keyboard-taps","63","444068","0.0-1.0-2.15","null","1103,1683,2165,2653,3187,3709,4214,4754,5248,5718,6194,6687,7175,7663,8121,8632,9131,9601,10077,10577,11082"
"null","<p> you can stop tapping </p>","","html-keyboard-response-ITI","64","445375","0.0-1.0-3.15","null",""
"null","800_ms.wav","","audio-keyboard-response","65","451488","0.0-1.0-0.16","null",""
"null","600_ms.wav","","audio-keyboard-response","66","457206","0.0-1.0-1.16","null",""
"","silence.wav","","audio-keyboard-taps","67","469363","0.0-1.0-2.16","null","75,604,1057,1730,2247,2740,3262,3733,4220,4731,5242,5799,6287,6861,7425,8022,8557,9102,9636,10176,10652"
"null","<p> you can stop tapping </p>","","html-keyboard-response-ITI","68","470668","0.0-1.0-3.16","null",""
"null","400_ms.wav","","audio-keyboard-response","69","473988","0.0-1.0-0.17","null",""
"null","700_ms.wav","","audio-keyboard-response","70","480403","0.0-1.0-1.17","null",""
"","silence.wav","","audio-keyboard-taps","71","493681","0.0-1.0-2.17","null","731,1382,1927,2525,3059,3582,4116,4627,5184,5689,6235,6745,7303,7883,8440,8969,9474,10066,10612,11175,11778"
"null","<p> you can stop tapping </p>","","html-keyboard-response-ITI","72","494987","0.0-1.0-3.17","null",""
"null","600_ms.wav","","audio-keyboard-response","73","499705","0.0-1.0-0.18","null",""
"null","400_ms.wav","","audio-keyboard-response","74","504024","0.0-1.0-1.18","null",""
"","silence.wav","","audio-keyboard-taps","75","518078","0.0-1.0-2.18","null","1863,2357,2943,3518,3988,4510,4986,5561,6113,6658,7204,7744,8319,8847,9358,9898,10414,10919,11482,12034,12550"
"null","<p> you can stop tapping </p>","","html-keyboard-response-ITI","76","519383","0.0-1.0-3.18","null",""
"null","700_ms.wav","","audio-keyboard-response","77","524800","0.0-1.0-0.19","null",""
"null","500_ms.wav","","audio-keyboard-response","78","529815","0.0-1.0-1.19","null",""
"","silence.wav","","audio-keyboard-taps","79","546064","0.0-1.0-2.19","null","2879,3402,3965,4592,5166,5776,6397,7007,7587,8202,8829,9439,10002,10612,11157,11726,12312,12934,13549,14129,14745"
"null","<p> you can stop tapping </p>","","html-keyboard-response-ITI","80","547369","0.0-1.0-3.19","null",""
"3375.050000002375","<p style=""font-size:30px;"">Thank you!</p><p>You have completed the experiment.</p><p>Click &#39continue&#39 to close the experiment and proceed to Prolific.</p>","0","html-button-response","81","551245","0.0-2.0","",""
