"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","key_press","tap_times"
"5610.119999968447","<p style=""font-size:30px;"">Hi!</p><br><p>In this experiment, you will hear sounds with different speeds. </p><p>Your task is to listen to the pair of sounds, and then tap on the T key</p><p>with a speed that you think is the midway between these two speeds.<br><br><br></p>","0","html-button-response","0","5617","0.0-0.0","",""
"null","600_ms.wav","","audio-keyboard-response","1","10421","0.0-1.0-0.0","null",""
"null","400_ms.wav","","audio-keyboard-response","2","14734","0.0-1.0-1.0","null",""
"","silence.wav","","audio-keyboard-taps","3","64431","0.0-1.0-2.0","null","37792,38304,38784,39296,39808,40379,40907,41445,41941,42485,42992,43547,44085,44624,45131,45595,46128,46597,47179,47712,48197"
"null","<p> you can stop tapping </p>","","html-keyboard-response-ITI","4","65742","0.0-1.0-3.0","null",""
"null","600_ms.wav","","audio-keyboard-response","5","70528","0.0-1.0-0.1","null",""
"null","500_ms.wav","","audio-keyboard-response","6","75546","0.0-1.0-1.1","null",""
"","silence.wav","","audio-keyboard-taps","7","90494","0.0-1.0-2.1","null","3184,3632,4085,4619,5136,5643,6128,6640,7163,7685,8224,8757,9269,9829,10315,10859,11413,11925,12453,12933,13440"
"null","<p> you can stop tapping </p>","","html-keyboard-response-ITI","8","91796","0.0-1.0-3.1","null",""
"null","700_ms.wav","","audio-keyboard-response","9","97210","0.0-1.0-0.2","null",""
"null","500_ms.wav","","audio-keyboard-response","10","102228","0.0-1.0-1.2","null",""
"","silence.wav","","audio-keyboard-taps","11","120470","0.0-1.0-2.2","null","4341,4917,5600,6208,6805,7461,8069,8624,9211,9835,10475,11008,11669,12309,12939,13579,14235,14891,15509,16043,16736"
"null","<p> you can stop tapping </p>","","html-keyboard-response-ITI","12","121777","0.0-1.0-3.2","null",""
"null","700_ms.wav","","audio-keyboard-response","13","127193","0.0-1.0-0.3","null",""
"null","400_ms.wav","","audio-keyboard-response","14","131502","0.0-1.0-1.3","null",""
"","silence.wav","","audio-keyboard-taps","15","146782","0.0-1.0-2.3","null","469,1083,1739,2379,3040,3669,4309,4971,5648,6299,7008,7680,8427,9099,9749,10384,11035,11691,12363,13088,13776"
"null","<p> you can stop tapping </p>","","html-keyboard-response-ITI","16","148088","0.0-1.0-3.3","null",""
"null","600_ms.wav","","audio-keyboard-response","17","152808","0.0-1.0-0.4","null",""
"null","800_ms.wav","","audio-keyboard-response","18","159922","0.0-1.0-1.4","null",""
"","silence.wav","","audio-keyboard-taps","19","175872","0.0-1.0-2.4","null","501,1184,1899,2571,3200,3867,4485,5173,5829,6507,7275,7968,8672,9387,10139,10821,11552,12229,12928,13707,14432"
"null","<p> you can stop tapping </p>","","html-keyboard-response-ITI","20","177180","0.0-1.0-3.4","null",""
"null","800_ms.wav","","audio-keyboard-response","21","183295","0.0-1.0-0.5","null",""
"null","700_ms.wav","","audio-keyboard-response","22","189713","0.0-1.0-1.5","null",""
"","silence.wav","","audio-keyboard-taps","23","208129","0.0-1.0-2.5","null","848,1675,2421,3216,3995,4837,5685,6512,7344,8144,8992,9771,10565,11323,12075,12939,13749,14544,15317,16101,16907"
"null","<p> you can stop tapping </p>","","html-keyboard-response-ITI","24","209436","0.0-1.0-3.5","null",""
"null","500_ms.wav","","audio-keyboard-response","25","213455","0.0-1.0-0.6","null",""
"null","600_ms.wav","","audio-keyboard-response","26","219172","0.0-1.0-1.6","null",""
"","silence.wav","","audio-keyboard-taps","27","233161","0.0-1.0-2.6","null","869,1413,1920,2560,3131,3701,4213,4800,5387,5968,6581,7205,7749,8347,8928,9531,10155,10725,11285,11856,12485"
"null","<p> you can stop tapping </p>","","html-keyboard-response-ITI","28","234468","0.0-1.0-3.6","null",""
"null","700_ms.wav","","audio-keyboard-response","29","239881","0.0-1.0-0.7","null",""
"null","600_ms.wav","","audio-keyboard-response","30","245598","0.0-1.0-1.7","null",""
"","silence.wav","","audio-keyboard-taps","31","261366","0.0-1.0-2.7","null","480,1184,1755,2432,3109,3803,4464,5109,5787,6539,7216,8000,8752,9504,10155,10816,11536,12171,12864,13563,14261"
