"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","key_press","tap_times"
"13772","<p style=""font-size:30px;"">Hi!</p><br><p>In this experiment, you will hear sounds with different speeds. </p><p>Your task is to listen to the pair of sounds, and then tap on the T key</p><p>with a speed that you think is the midway between these two speeds.<br><br><br></p>","0","html-button-response","0","13774","0.0-0.0","",""
"null","600_ms.wav","","audio-keyboard-response","1","18540","0.0-1.0-0.0","null",""
"null","500_ms.wav","","audio-keyboard-response","2","23580","0.0-1.0-1.0","null",""
"","silence.wav","","audio-keyboard-taps","3","51198","0.0-1.0-2.0","null","13600,14120,14712,15392,16080,16752,17421,18101,18741,19360,20032,20672,21341,21971,22552,23181,23792,24381,24952,25512,26112"
"null","<p> you can stop tapping </p>","","html-keyboard-response-ITI","4","52509","0.0-1.0-3.0","null",""
"null","700_ms.wav","","audio-keyboard-response","5","57950","0.0-1.0-0.1","null",""
"null","400_ms.wav","","audio-keyboard-response","6","62269","0.0-1.0-1.1","null",""
"","silence.wav","","audio-keyboard-taps","7","76294","0.0-1.0-2.1","null","571,1200,1771,2331,2909,3531,4189,4789,5371,5981,6611,7221,7811,8400,8971,9541,10131,10701,11269,11851,12520"
"null","<p> you can stop tapping </p>","","html-keyboard-response-ITI","8","77610","0.0-1.0-3.1","null",""
"null","600_ms.wav","","audio-keyboard-response","9","82330","0.0-1.0-0.2","null",""
"null","400_ms.wav","","audio-keyboard-response","10","86650","0.0-1.0-1.2","null",""
"","silence.wav","","audio-keyboard-taps","11","100253","0.0-1.0-2.2","null","128,789,1389,1989,2600,3229,3840,4440,5008,5629,6229,6819,7400,8029,8608,9189,9749,10320,10909,11459,12099"
"null","<p> you can stop tapping </p>","","html-keyboard-response-ITI","12","101570","0.0-1.0-3.2","null",""
"null","700_ms.wav","","audio-keyboard-response","13","106989","0.0-1.0-0.3","null",""
"null","600_ms.wav","","audio-keyboard-response","14","112710","0.0-1.0-1.3","null",""
"","silence.wav","","audio-keyboard-taps","15","129710","0.0-1.0-2.3","null","1720,2299,2971,3640,4320,5059,5760,6429,7091,7739,8419,9080,9731,10451,11160,11891,12669,13360,14059,14749,15480"
"null","<p> you can stop tapping </p>","","html-keyboard-response-ITI","16","131012","0.0-1.0-3.3","null",""
"null","800_ms.wav","","audio-keyboard-response","17","137129","0.0-1.0-0.4","null",""
"null","400_ms.wav","","audio-keyboard-response","18","141450","0.0-1.0-1.4","null",""
